word | morph | numbers 
абажур | абажур!
авиадвигатель | авиа!двиг!а!тель!
авиадесант | авиа!десант!
авиадесантный | авиа!десант!н!ый
авиадиспетчер | авиа!диспетчер!
авиазавод | авиа!завод!
авиакатастрофа | авиа!катастроф!а
авиакомпания | авиа!компани!я 
авиаконверт | авиа!конверт!
авиаконструктор | авиа!конструк!т!ор!
авиалайнер | авиа!лайнер!
авиалесоохрана | авиа!лес!о!о!хран!а
авиалиния | авиа!лини!я 
авиамаяк | авиа!маяк!
авиаметеослужба | авиа!мете!о!служ!б!а
авиаметеостанция | авиа!мете!о!станци!я 
авиамоделизм | авиа!модел!изм!
авиамоделист | авиа!модел!ист!
авиамодель | авиа!модель!
авиамодельный | авиа!модель!н!ый
авиамотор | авиа!мотор!
авиамоторостроение | авиа!мотор!о!стро!ени!е 
авианавигационный | авиа!навиг!аци!онн!ый
авианосец | авиа!нос!ец!
авианосный | авиа!нос!н!ый
авиаопрыскивание | авиа!о!прыск!ива!ни!е 
авиаотряд | авиа!отряд!
авиапарк | авиа!парк!
авиапассажир | авиа!пассажир!
авиапатруль | авиа!патруль!
авиаподкормка | авиа!под!корм!к!а
авиапочта | авиа!почт!а
авиаприбор | авиа!прибор!
авиапромышленность | авиа!промышл!енн!ость!
авиаразведка | авиа!раз!вед!к!а
авиаракетный | авиа!ракет!н!ый
авиаракетостроение | авиа!ракет!о!стро!ени!е 
авиаракетостроительный | авиа!ракет!о!стро!и!тельн!ый
авиасвязь | авиа!с!вязь!
авиасекстант | авиа!секстант!
авиаспорт | авиа!спорт!
авиастроение | авиа!стро!ени!е 
авиастроительный | авиа!стро!и!тельн!ый
авиастроительство | авиа!стро!и!тель!ств!о
авиатехник | авиа!техн!ик!
авиатика | авиа!т!ик!а
авиатор | ави!атор!
авиаторский | ави!атор!ск!ий
авиатранспорт | авиа!транспорт!
авиатрасса | авиа!трасс!а
авиахимический | авиа!хим!ическ!ий
авиационнокосмический | авиа!ци!онн!о!косм!ическ!ий
авиационноракетный | авиа!ци!онн!о!ракет!н!ый
авиационноспортивный | авиа!ци!онн!о!спорт!ивн!ый
авиационнотехнический | авиа!ци!онн!о!техн!ич!еск!ий
авиационнохимический | авиа!ци!онн!о!хим!ическ!ий
авиационный | ави!аци!онн!ый
авиация | ави!аци!я 
авиачасть | авиа!часть!
авиашкола | авиа!школ!а
авизировать | авиз!ир!ова!ть
авизный | авиз!н!ый
авизо | авизо, нескл., с.
авитаминоз | а!витамин!оз!
авифауна | ави!фаун!а
авокадо | авокадо, нескл., с.
авось | авось
авось-либо | авось!-либо
авоська | авось!к!а
аврал | аврал!
авралить | аврал!и!ть
авральный | авраль!н!ый
аврора | аврор!а (заря)
австралиец | австрали!ец!
австралийка | австралий!к!а
австралийский | австралий!ск!ий
австралоидный | австрал!оид!н!ый
австралопитек | австрал!о!питек!
австриец | австри!ец!
австрийка | австрий!ка
австрийский | австрий!ск!ий
австрияк | австри!як!
австриячка | австри!яч!к!а
австро-венгерский | австр!о!-венгер!ск!ий
австро-германский | австр!о!-герман!ск!ий
австро-итало-французский | австр!о!-итал!о!-франц!уз!ск!ий
австро-итальянский | австр!о!-италь!ян!ск!ий
австро-советский | австр!о-!совет!ск!ий
австроазиатский | австр!о!ази!ат!ск!ий
автаркический | автарк!ическ!ий
автаркия | автарки!я 
авто | авто, нескл., с.
авто... | авто... - первая часть сложных слов, пишется всегда слитно
автоаннотирование | авто!аннот!ир!ова!ни!е 
автобаза | авто!баз!а
автобиографический | авто!био!граф!ическ!ий
автобиографичный | авто!био!граф!ичн!ый
автобиография | авто!био!графи!я 
автоблокировка | авто!блок!ир!ов!к!а
автоблокировочный | авто!блок!ир!ов!оч!н!ый
автобронетанковый | авто!брон!е!танк!ов!ый
автобус | автобус!
автобусно-таксомоторный | автобус!н!о!-такс!о!мотор!н!ый
автобусный | авто!бус!н!ый
автовесы | авто!вес!ы
автовладелец | авто!влад!е!л!ец!
автоводитель | авто!вод!и!тель!
автовокзал | авто!вокзал!
автогамия | авто!гам!и!я 
автоген | авто!ген!
автогенез | авто!ген!ез!
автогенератор | авто!генер!атор!
автогенно-сварочный | авто!ген!н!о!-с!вар!оч!н!ый
автогенный | авто!ген!н!ый (тех.)
автогенщик | авто!ген!щик!
автогидроподъемник | авто!гидр!о!подъем!ник!
автогравюра | авто!гравюр!а
автограф | авто!граф!
автографический | авто!граф!ическ!ий
автографичный | авто!граф!ичн!ый
автография | авто!граф!и!я 
автогрейдер | авто!грейдер!
автогрузовой | авто!груз!ов!ой
автогужевой | авто!гуж!ев!ой
автодело | авто!дел!о
автодиспетчер | авто!диспетчер!
автодоение | авто!до!ени!е 
автодоилка | авто!до!и!л!к!а
автодорога | авто!дорог!а
автодорожный | авто!дорож!н!ый
автодрезина | авто!дрезин!а
автодром | авто!дром!
автозавод | авто!завод!
автозаводец | авто!завод!ец!
автозаводский | авто!завод!ск!ий и авто!за!вод!ск!ой
автозаводской | авто!завод!ск!ий и авто!за!вод!ск!ой
автозаправка | авто!заправ!к!а
автозаправочный | авто!заправ!оч!н!ый
автозаправщик | авто!заправ!щик!
автоинспектор | авто!инспект!ор!
автоинспекция | авто!инспекц!и!я 
автокар | авто!кар! и авто!кар!а
автокара | авто!кар! и авто!кар!а
автокатализ | авто!катализ! и ауто!катализ!
автокатастрофа | авто!катастроф!а
автокинопередвижка | авто!кино!пере!движ!к!а
автоклуб | авто!клуб!
автоколебания | авто!колеб!а!ни!я 
автоколебательный | авто!колеб!а!тельн!ый
автоколонна | авто!колонн!а
автокомбинат | авто!комбинат!
автокомментарий | авто!коммент!арий!
автокормушка | авто!корм!ушк!а
автокоррекция | авто!коррекц!и!я 
автокосметика | авто!косметик!а
автокран | авто!кран!
автократ | авто!крат!
автократический | авто!крат!ическ!ий
автократия | авто!крат!и!я 
автокружок | авто!кружок!
автол | авт!ол!
автолавка | авто!лавк!а
автолесовоз | авто!лес!о!воз!
автолиз | авто!лиз! и ауто!лиз!
автолитография | авто!лит!о!граф!и!я 
автолюбитель | авто!люб!и!тель!
автомагистраль | авто!магистраль!
автомассажер | авто!масс!аж!ер!
автомат | автомат!
автомат-пакетировщик | автомат!-пакет!ир!ов!щик!
автомат-упаковщик | автомат-!у!пак!ов!щик!
автоматизация | автомат!из!аци!я 
автоматизирование | автомат!из!ир!ова!ни!е 
автоматизированный | автомат!из!ир!ова!нн!ый
автоматизировать | автомат!из!ир!ова!ть
автоматизироваться | автомат!из!ир!ова!ть!ся
автоматизм | автомат!изм!
автоматика | автомат!ик!а
автоматический | автомат!ическ!ий
автоматичный | автомат!ичн!ый
автоматно-пулеметный | автомат!н!о-!пул!е!мет!н!ый
автоматный | автомат!н!ый
автоматчик | автомат!чик!
автоматчица | автомат!чиц!а
автомашина | авто!машин!а
автомашинист | авто!машин!ист!
автометаморфизм | авто!мета!морф!изм!
автомеханик | авто!механ!ик!
автомеханический | авто!механ!ич!еск!ий
автомобилевоз | авто!мобил!е!воз!
автомобилеопрокидыватель | авто!мобил!е!о!про!кид!ыва!тель!
автомобилеразгрузчик | авто!мобил!е!раз!груз!чик!
автомобилестроение | авто!мобил!е!стро!ени!е 
автомобилестроительный | авто!мобил!е!стро!и!тельн!ый
автомобилетракторостроение | авто!мобил!е!трактор!о!стро!ени!е 
автомобилизация | авто!мобил!из!аци!я 
автомобилизм | авто!мобил!изм!
автомобилист | авто!мобил!ист!
автомобилистка | авто!мобил!ист!к!а
автомобиль | авто!мобиль!
автомобиль-вышка | авто!мобиль!-выш!к!а
автомобильно-дорожный | авто!мобиль!н!о!-дорож!н!ый
автомобильно-железнодорожный | авто!мобиль!н!о!-желез!н!о!дорож!н!ый
автомобильно-тракторный | авто!мобиль!н!о!-трактор!н!ый
автомобильный | авто!мобиль!н!ый
автомоделизм | авто!модел!изм!
автомодельный | авто!модель!н!ый
автоморфизм | авто!морф!изм!
автомотоклуб | авто!мото!клуб!
автомотолотерея | авто!мото!лотере!я 
автомотолюбитель | авто!мото!люб!и!тель!
автомоторный | авто!мотор!н!ый
автомотосекция | авто!мото!секци!я 
автомотоспортивный | авто!мото!спорт!ивн!ый
автомототранспорт | авто!мото!транспорт!
автомототуризм | авто!мото!тур!изм!
автомотошкола | авто!мото!школ!а
автомотриса | авто!мотрис!а
автономизация | автоном!из!аци!я 
автономист | автоном!ист!
автономистский | автоном!ист!ск!ий
автономический | автоном!ическ!ий
автономия | автономи!я 
автономный | автоном!н!ый
автооператор | авто!опер!атор!
автопавильон | авто!павильон!
автопансионат | авто!пансион!ат!
автопарк | авто!парк!
автопассажир | авто!пассажир!
автопассажирский | авто!пассажир!ск!ий
автопатруль | авто!патруль!
автоперевозка | авто!пере!воз!к!а
автопередвижка | авто!пере!движ!к!а
автопередвижной | авто!пере!движ!н!ой
автопилот | авто!пилот!
автопластика | авто!пласт!ик!а
автоплуг | авто!плуг!
автопогрузчик | авто!по!груз!чик!
автоподзавод | авто!под!за!вод!
автоподстройка | авто!под!строй!ка
автоподъемник | авто!подъем!ник!
автопоезд | авто!поезд!
автопоилка | авто!по!и!л!к!а
автопокрышка | авто!по!кры!ш!к!а
автопортрет | авто!портрет!
автопреобразователь | авто!пре!образова!тель!
автопробег | авто!про!бег!
автопрокат | авто!про!кат!
автопрокладчик | авто!про!клад!чик!
автопромышленность | авто!промышл!енн!ость!
автор | автор!
авторадиограмма | авто!радио!грамм!а
авторадиография | авто!рад!и!о!граф!и!я 
авторазгрузчик | авто!раз!груз!чик!
авторазливочный | авто!раз!ли!в!оч!н!ый
авторалли | авто!ралли, нескл., с.
авторегулятор | авто!регул!ятор!
авторезина | авто!резин!а
авторемонтный | авто!ремонт!н!ый
авторессора | авто!рессор!а
автореферат | авто!реферат!
авторефрижератор | авто!рефрижератор!
авторизация | автор!из!аци!я 
авторизировать | автор!из!ир!ова!ть
авторизованный | автор!из!ова!нн!ый
авторизовать | автор!из!ова!ть
авторизоваться | автор!из!ова!ть!ся
авторитарный | авторитарн!ый
авторитет | авторитет!
авторитетный | авторитет!н!ый
автороллер | авто!роллер!
авторота | авто!рот!а
авторотация | авто!рот!аци!я 
авторский | автор!ск!ий
авторско-правовой | автор!ск!о!-прав!ов!ой
авторство | автор!ств!о
авторулевой | авто!рул!ев!ой, -ого
авторучка | авто!ручк!а
автосалон | авто!салон!
автосамосвал | авто!сам!о!с!вал!
автосборка | авто!с!бор!к!а
автосборочный | авто!с!бор!оч!н!ый
автосервис | авто!сервис!
автослесарь | авто!слесарь!
автоспорт | авто!спорт!
автостанция | авто!станци!я 
автостарт | авто!старт!
автостартер | авто!старт!ер! и авто!старт!ер!
автостоп | авто!стоп!
автостоянка | авто!сто!янк!а
автострада | авто!страд!а
автостроение | авто!стро!ени!е 
автостроитель | авто!стро!и!тель!
автосцеп | авто!с!цеп!
автосцепка | авто!с!цеп!к!а
автотермоцистерна | авто!терм!о!цистерн!а
автотехобслуживание | авто!тех!об!служ!ива!ни!е 
автотипический | авто!тип!ическ!ий
автотипия | авто!тип!и!я 
автотипный | авто!тип!н!ый
автотомия | авто!том!и!я 
автотормоз | авто!тормоз!
автотормозной | авто!тормоз!н!ой
автотракторный | авто!трактор!н!ый
автотракторостроение | авто!трактор!о!стро!ени!е 
автотранспорт | авто!транспорт!
автотранспортный | авто!транспорт!н!ый
автотрансформатор | авто!трансформ!атор!
автотрасса | авто!трасс!а
автотренажер | авто!трен!аж!ер!
автотропизм | авто!троп!изм!
автотуризм | авто!тур!изм!
автотурист | авто!тур!ист!
автотягач | авто!тяг!ач!
автоукладчик | авто!у!клад!чик!
автофазировка | авто!фаз!ир!ов!к!а
автофилия | авто!фил!и!я 
автофургон | авто!фургон!
автохарактеристика | авто!характер!ист!ик!а
автохозяйство | авто!хозяй!ств!о
автохромный | авто!хром!н!ый
автохронометраж | авто!хрон!о!метр!аж!
автохтон | автохтон!
автохтонный | автохтон!н!ый
автоцементовоз | авто!цемент!о!воз!
автоцистерна | авто!цистерн!а
авточас | авто!час!
авточасть | авто!часть!
автошарж | авто!шарж!
автошкола | авто!школ!а
автоштурман | авто!штурман!
автощеповоз | авто!щеп!о!воз!
автощетка | авто!щетк!а
автоэлектронный | авто!электр!он!н!ый
авуары | авуар!ы
ага-хан | ага!-хан!
ага1 | ага1, м. (восточный титул)
ага2 | ага2, междом.
агава | агав!а
агама | агам!а (ящерица)
агами | агами, нескл., ж. (птица)
агамия | а!гам!и!я 
агамный | а!гам!н!ый
агамогония | а!гам!о!гон!и!я 
агар-агар | агар!-агар!
агарный | агар!н!ый
агаровый | агар!ов!ый
агарянин | агар!ян!ин!
агарянка | агар!ян!к!а
агат | агат!
агатовый | агат!ов!ый
агглютинабельный | аг!глютин!абельн!ый
агглютинативный | аг!глютин!ат!ивн!ый
агглютинация | аг!глютин!аци!я  [ср.: де!глютин!аци!я]
агглютинин | аг!глютин!ин!
агглютинирование | аг!глютин!ир!ова!ни!е 
агглютинировать | аг!глютин!ир!ова!ть!
агглютинироваться | аг!глютин!ир!ова!ть!ся
агглютинирующий | аг!глютин!ир!у!ющ!ий
аггравация | аг!граваци!я 
агент1 | агент!1 (человек)
агент2 | агент!2 (действующая причина)
агентирование | агент!ир!ова!ни!е 
агентский | агент!ск!ий
агентство | агент!ств!о
агентура | агент!ур!а
агентурный | агент!ур!н!ый
агиографический | агио!граф!ическ!ий
агиография | агио!граф!и!я 
агиология | агио!лог!и!я 
агит... | агит... - первая часть сложных слов, пишется всегда слитно
агитатор | агит!атор!
агитаторский | агит!атор!ск!ий
агитационно-массовый | агит!аци!онн!о!-масс!ов!ый
агитационный | агит!аци!онн!ый
агитация | агит!аци!я 
агитбригада | агит!бригад!а
агитвагон | агит!вагон!
агитировать | агит!ир!ова!ть
агитка | агит!к!а
агиткампания | агит!кампани!я 
агитколлектив | агит!коллектив!
агитмассовый | агит!масс!ов!ый
агитплакат | агит!плакат!
агитпоезд | агит!поезд!
агитпоход | агит!по!ход!
агитпробег | агит!про!бег!
агитпроп | агит!проп!
агитпропотдел | агит!проп!от!дел!
агитпункт | агит!пункт!
агитфильм | агит!фильм!
агломерат | агломер!ат!
агломератчик | агломер!ат!чик!
агломерационный | агломер!аци!онн!ый
агломерация | агломер!аци!я 
агломерировать | агломер!ир!ова!ть
агломерироваться | агломер!ир!ова!ть!ся
аглопорит | агло!пор!ит!
аглофабрика | агло!фабрик!а
агнец | агнец!
агнозия | агнози!я 
агностик | агностик!
агностицизм | агностиц!изм!
агностический | агностич!еск!ий
агонизировать | агон!из!ир!ова!ть
агонический | агон!ическ!ий
агония | агони!я 
аграмант | аграмант!
аграмантный | аграмант!н!ый
аграмантовый | аграмант!ов!ый
аграрий | аграр!ий!
аграрник | аграр!ник!
аграрно-индустриальный | аграр!н!о!-индустри!альн!ый
аграрно-промышленный | аграр!н!о!-промышл!енн!ый
аграрный | аграр!н!ый
агрегат | агрегат!
агрегатирование | агрегат!ир!ова!ни!е 
агрегатированный | агрегат!ир!ова!нн!ый
агрегатировать | агрегат!ир!ова!ть
агрегатироваться | агрегат!ир!ова!ть!ся
агрегатно-сборочный | агрегат!н!о!-с!бор!оч!н!ый
агрегатный | агрегат!н!ый
агрегация | агрег!аци!я 
агрегировать | агрег!ир!ова!ть
агреман | агреман!
агрессивно-коррозионный | агресс!ивн!о-!корроз!и!онн!ый
агрессивность | агресс!ивн!ость!
агрессивный | агресс!ивн!ый
агрессия | агресси!я 
агрессор | агресс!ор!
агро... | агро... - первая часть сложных слов, пишется всегда слитно
агробаза | агро!баз!а
агробиолог | агро!био!лог!
агробиологический | агро!био!лог!ическ!ий
агробиология | агро!био!лог!и!я 
агробиоценоз | агро!био!цен!оз!
агроботаника | агро!ботан!ик!а
агроботанический | агро!ботан!ич!еск!ий
агрогородок | агро!город!ок!
агрозоотехника | агро!зоо!техн!ик!а
агрозоотехнический | агро!зоо!техн!ич!еск!ий
агроклиматология | агро!климат!о!лог!и!я 
агрокружок | агро!кружок!
агрокультура | агро!культур!а
агролесомелиоративный | агро!лес!о!мелиор!ат!ивн!ый
агролесомелиоратор | агро!лес!о!мелиор!атор!
агролесомелиорация | агро!лес!о!мелиор!аци!я 
агромаксимум | агро!максим!ум!
агромелиоратор | агро!мелиор!атор!
агромелиорация | агро!мелиор!аци!я! 
агрометеоролог | агро!метеор!о!лог!
агрометеорологический | агро!метеор!о!лог!ическ!ий
агрометеорология | агро!метеор!о!лог!и!я 
агрометр | агро!метр!
агроминимум | агро!миним!ум!
агроном | агро!ном!
агрономический | агро!ном!ическ!ий
агрономия | агро!ном!и!я 
агропочвенный | агро!почв!енн!ый
агропочвоведение | агро!почв!о!вед!ени!е 
агропроизводство | агро!производ!ств!о
агропром | агро!пром!
агропромышленный | агро!промышл!енн!ый
агропропаганда | агро!пропаганд!а
агропункт | агро!пункт!
агрорайон | агро!район!
агросеть | агро!сеть!
агротехник | агро!техн!ик!
агротехника | агро!техн!ик!а
агротехнический | агро!техн!ич!еск!ий
агроучасток | агро!участок!
агрофизик | агро!физ!ик
агрофизика | агро!физ!ик!а
агрофизический | агро!физ!ич!еск!ий
агрофитоценоз | агро!фит!о!цен!оз!
агрохимик | агро!хим!ик!
агрохимический | агро!хим!ическ!ий
агрохимия | агро!хим!и!я 
агрохимлаборатория | агро!хим!лабор!атори!я 
агроцех | агро!цех!
агрошкола | агро!школ!а
агроэкологический | агро!эко!лог!ическ!ий
агроэкономический | агро!эконом!ич!еск!ий
агроэкосистема | агро!эко!систем!а
агу | агу, междом.
агул | агул!
агулец | агул!ец!
агулка | агул!к!а
агульский | агуль!ск!ий
ад | ад!
адажио | адажио, неизм. и нескл., с.
адалин | адалин!
адамант | адамант!
адамит | адамит!
адамсия | адамси!я 
адаптант | адапт!ант!
адаптационный | адапт!аци!онн!ый
адаптация | адапт!аци!я  (приспосабливание)
адаптер | адапт!ер!
адаптивный | адапт!ивн!ый
адаптированный | адапт!ир!ова!нн!ый (от адапт!ир!ова!ть)
адаптировать | адапт!ир!ова!ть
адаптироваться | адапт!ир!ова!ть!ся
адаптометр | адапт!о!метр!
адат | адат!
адвентист | адвент!ист!
адвербиализация | адверби!ал!из!аци!я 
адвербиализироваться | адверби!ал!из!ир!ова!ть!ся
адвербиальный | адверби!альн!ый
адвокат | адвокат!
адвокатский | адвокат!ск!ий
адвокатство | адвокат!ств!о
адвокатствовать | адвокат!ств!ова!ть
адвокатура | адвокат!ур!а
адденда | адденд!а
адекватный | адекватн!ый
аденит | аден!ит!
аденовирус | аден!о!вирус!
аденовирусный | аден!о!вирус!н!ый
аденоид | аден!оид!
аденокарцинома | аден!о!карцин!ом!а
аденома | аден!ом!а
адепт | адепт!
адеструктивный | а!де!структ!ивн!ый
аджарец | аджар!ец!
аджарка | аджар!к!а
аджарский | аджар!ск!ий
аджика | аджик!а
адиабата | адиабат!а
адиабатический | адиабат!ическ!ий
адиабатный | адиабат!н!ый
адидас | адидас, неизм.
адидасовский | адидас!ов!ск!ий
адинамия | а!динам!и!я 
административно-волевой | администр!ат!ивн!о!-вол!ев!ой
административно-дисциплинарный | администр!ат!ивн!о!-дисциплин!арн!ый
административно-командный | администр!ат!ивн!о!-команд!н!ы!й
административно-приказной | администр!ат!ивн!о!-приказ!н!ой
административно-территориальный | администр!ат!ивн!о!-территор!и!альн!ый
административно-управленческий | администр!ат!ивн!о!-у!правл!ен!ческ!ий
административно-хозяйственный | администр!ат!ивн!о!-хозяй!ств!енн!ый
административный | администр!ат!ивн!ый
администратор | администр!атор!
администраторский | администр!атор!ск!ий
администраторство | администр!атор!ств!о
администрация | администр!аци!я 
администрирование | администр!ир!ова!ни!е 
администрировать | администр!ир!ова!ть
адмирал | адмирал!
адмирал-инженер | адмирал!-инженер!
адмиралтейский | адмиралтей!ск!ий
адмиралтейств-коллегия | адмиралтей!ств!-коллеги!я 
адмиралтейств-совет | адмиралтей!ств!-совет!
адмиралтейство | адмиралтей!ств!о
адмиральский | адмираль!ск!ий
адмиральство | адмираль!ств!о
адмотдел | адм!от!дел!
адмтехперсонал | адм!тех!персон!ал!
адмчасть | адм!часть!
адов | ад!ов!
адонис | адонис!
адоптация | адопт!аци!я  (усыновление)
адоптивный | адопт!ивн!ый (к адопт!аци!я)
адоптированный | адопт!ир!ова!нн!ый (от адопт!ир!ова!ть)
адоптировать | адопт!ир!ова!ть (к адопт!аци!я)
адоптироваться | адопт!ир!ова!ть!ся (к адопт!аци!я)
адорация | адор!аци!я 
адреналин | адренал!ин!
адреналиновый | адренал!ин!ов!ый
адрес | адрес!
адрес-календарь | адрес!-календарь!
адресант | адрес!ант! (отправитель письма)
адресат | адрес!ат (получатель письма)
адресация | адрес!аци!я 
адресно-справочный | адрес!н!о!-справ!оч!н!ый
адресный | адрес!н!ый
адресование | адрес!ова!ни!е 
адресованный | адрес!ова!нн!ый
адресовать | адрес!ова!ть
адресоваться | адрес!ова!ть!ся
адский | ад!ск!ий
адсорбент | ад!сорб!ент!
адсорбер | ад!сорб!ер!
адсорбированный | ад!сорб!ир!ова!нн!ый
адсорбировать | ад!сорб!ир!ова!ть [ср.: аб!сорб!ир!ова!ть]
адсорбироваться | ад!сорб!ир!ова!ть!ся [ср.: аб!сорб!ир!ова!ть!ся]
адсорбционно-комплексный | ад!сорб!ци!онн!о-комплекс!н!ый
адсорбционный | ад!сорб!ци!онн!ый
адсорбция | ад!сорб!ци!я 
адуляр | адуляр!
адъективация | адъектив!аци!я 
адъективирование | адъектив!ир!ова!ни!е 
адъективированный | адъектив!ир!ова!нн!ый
адъективироваться | адъектив!ир!ова!ть!ся
адъективный | адъектив!н!ый
адъюнкт | адъюнкт! (о человеке)
адъюнкт-профессор | адъюнкт-професс!ор!
адъюнкта | адъюнкт!а (мат.)
адъюнктский | адъюнкт!ск!ий
адъюнктство | адъюнкт!ств!о
адъюнктура | адъюнкт!ур!а
адъютант | адъютант!
